title,price,rating,category,scraping_date
A Light in the Attic,51.77,3,Poetry,2026-03-31 11:51:28
Tipping the Velvet,53.74,1,Historical Fiction,2026-03-31 11:51:28
Soumission,50.1,1,Fiction,2026-03-31 11:51:28
Sharp Objects,47.82,4,Mystery,2026-03-31 11:51:28
Sapiens: A Brief History of Humankind,54.23,5,History,2026-03-31 11:51:28
The Requiem Red,22.65,1,Young Adult,2026-03-31 11:51:28
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business,2026-03-31 11:51:28
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Default,2026-03-31 11:51:28
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default,2026-03-31 11:51:28
The Black Maria,52.15,1,Poetry,2026-03-31 11:51:28
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Default,2026-03-31 11:51:28
Shakespeare's Sonnets,20.66,4,Poetry,2026-03-31 11:51:28
Set Me Free,17.46,5,Young Adult,2026-03-31 11:51:28
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art,2026-03-31 11:51:28
Rip it Up and Start Again,35.02,5,Music,2026-03-31 11:51:28
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Music,2026-03-31 11:51:28
Olio,23.88,1,Poetry,2026-03-31 11:51:28
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction,2026-03-31 11:51:28
Libertarianism for Beginners,51.33,2,Politics,2026-03-31 11:51:28
It's Only the Himalayas,45.17,2,Travel,2026-03-31 11:51:28
In Her Wake,12.84,1,Thriller,2026-03-31 11:51:28
How Music Works,37.32,2,Music,2026-03-31 11:51:28
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Food and Drink,2026-03-31 11:51:28
Chase Me (Paris Nights #2),25.27,5,Romance,2026-03-31 11:51:28
Black Dust,34.53,5,Romance,2026-03-31 11:51:28
Birdsong: A Story in Pictures,54.64,3,Childrens,2026-03-31 11:51:28
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Default,2026-03-31 11:51:28
Aladdin and His Wonderful Lamp,53.13,3,Default,2026-03-31 11:51:28
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,Nonfiction,2026-03-31 11:51:28
Wall and Piece,44.18,4,Art,2026-03-31 11:51:28
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality,2026-03-31 11:51:28
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction,2026-03-31 11:51:28
The Elephant Tree,23.82,5,Thriller,2026-03-31 11:51:28
The Bear and the Piano,36.89,1,Childrens,2026-03-31 11:51:28
Sophie's World,15.94,5,Philosophy,2026-03-31 11:51:28
Penny Maybe,33.29,3,Default,2026-03-31 11:51:28
Maude (1883-1993):She Grew Up with the country,18.02,2,Default,2026-03-31 11:51:28
"In a Dark, Dark Wood",19.63,1,Mystery,2026-03-31 11:51:28
Behind Closed Doors,52.22,4,Thriller,2026-03-31 11:51:28
You can't bury them all: Poems,33.63,2,Poetry,2026-03-31 11:51:28
Slow States of Collapse: Poems,57.31,3,Poetry,2026-03-31 11:51:28
Reasons to Stay Alive,26.41,2,Nonfiction,2026-03-31 11:51:28
Private Paris (Private #10),47.61,5,Fiction,2026-03-31 11:51:28
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction,2026-03-31 11:51:28
Without Borders (Wanderlove #1),45.07,2,New Adult,2026-03-31 11:51:28
When We Collided,31.77,1,Contemporary,2026-03-31 11:51:28
"We Love You, Charlie Freeman",50.27,5,Fiction,2026-03-31 11:51:28
Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry,2026-03-31 11:51:28
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction,2026-03-31 11:51:28
Unicorn Tracks,18.78,3,Fantasy,2026-03-31 11:51:28
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,History,2026-03-31 11:51:28
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,Sequential Art,2026-03-31 11:51:28
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,Nonfiction,2026-03-31 11:51:28
This One Summer,19.49,4,Sequential Art,2026-03-31 11:51:28
Thirst,17.27,5,Fiction,2026-03-31 11:51:28
The Torch Is Passed: A Harding Family Story,19.09,1,Add a comment,2026-03-31 11:51:28
The Secret of Dreadwillow Carse,56.13,1,Childrens,2026-03-31 11:51:28
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,Food and Drink,2026-03-31 11:51:28
The Past Never Ends,56.5,4,Mystery,2026-03-31 11:51:28
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,Young Adult,2026-03-31 11:51:28
The Nameless City (The Nameless City #1),38.16,4,Sequential Art,2026-03-31 11:51:28
The Murder That Never Was (Forensic Instincts #5),54.11,3,Fiction,2026-03-31 11:51:28
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,Science,2026-03-31 11:51:28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,Add a comment,2026-03-31 11:51:28
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,Nonfiction,2026-03-31 11:51:28
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,Default,2026-03-31 11:51:28
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,Nonfiction,2026-03-31 11:51:28
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,Nonfiction,2026-03-31 11:51:28
The Death of Humanity: and the Case for Life,58.11,4,Philosophy,2026-03-31 11:51:28
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,Health,2026-03-31 11:51:28
The Art Forger,40.76,3,Add a comment,2026-03-31 11:51:28
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,History,2026-03-31 11:51:28
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,Spirituality,2026-03-31 11:51:28
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Nonfiction,2026-03-31 11:51:28
Soul Reader,39.58,2,Default,2026-03-31 11:51:28
Security,39.25,2,Horror,2026-03-31 11:51:28
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,Fantasy,2026-03-31 11:51:28
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Sequential Art,2026-03-31 11:51:28
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,Nonfiction,2026-03-31 11:51:28
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Sequential Art,2026-03-31 11:51:28
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,2026-03-31 11:51:28
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy,2026-03-31 11:51:28
"Pop Gun War, Volume 1: Gift",18.97,1,Sequential Art,2026-03-31 11:51:28
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,History,2026-03-31 11:51:28
Patience,10.16,3,Sequential Art,2026-03-31 11:51:28
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art,2026-03-31 11:51:28
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Sequential Art,2026-03-31 11:51:28
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,Self Help,2026-03-31 11:51:28
On a Midnight Clear,14.07,3,Add a comment,2026-03-31 11:51:28
Obsidian (Lux #1),14.86,2,Young Adult,2026-03-31 11:51:28
My Paris Kitchen: Recipes and Stories,33.37,2,Food and Drink,2026-03-31 11:51:28
Masks and Shadows,56.4,2,Fantasy,2026-03-31 11:51:28
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Food and Drink,2026-03-31 11:51:28
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,Sequential Art,2026-03-31 11:51:28
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Sequential Art,2026-03-31 11:51:28
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Sequential Art,2026-03-31 11:51:28
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,Food and Drink,2026-03-31 11:51:28
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,Add a comment,2026-03-31 11:51:28
Join,35.67,5,Science Fiction,2026-03-31 11:51:28
In the Country We Love: My Family Divided,22.0,4,Nonfiction,2026-03-31 11:51:28
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,Science,2026-03-31 11:51:28
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Sequential Art,2026-03-31 11:51:28
I am a Hero Omnibus Volume 1,54.63,3,Sequential Art,2026-03-31 11:51:28
How to Be Miserable: 40 Strategies You Already Use,46.03,1,Self Help,2026-03-31 11:51:28
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Romance,2026-03-31 11:51:28
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Sequential Art,2026-03-31 11:51:28
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction,2026-03-31 11:51:28
First and First (Five Boroughs #3),15.97,4,Romance,2026-03-31 11:51:28
Fifty Shades Darker (Fifty Shades #2),21.96,1,Romance,2026-03-31 11:51:28
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,Nonfiction,2026-03-31 11:51:28
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Religion,2026-03-31 11:51:28
Danganronpa Volume 1,51.99,4,Sequential Art,2026-03-31 11:51:28
Crown of Midnight (Throne of Glass #2),43.29,3,Fantasy,2026-03-31 11:51:28
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Sequential Art,2026-03-31 11:51:28
Camp Midnight,17.08,4,Sequential Art,2026-03-31 11:51:28
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Nonfiction,2026-03-31 11:51:28
Burning,28.81,3,Young Adult,2026-03-31 11:51:28
Bossypants,49.46,2,Default,2026-03-31 11:51:28
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Sequential Art,2026-03-31 11:51:28
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Fantasy,2026-03-31 11:51:28
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Nonfiction,2026-03-31 11:51:28
A World of Flavor: Your Gluten Free Passport,42.95,1,Default,2026-03-31 11:51:28
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Default,2026-03-31 11:51:28
A Murder in Time,16.64,1,Mystery,2026-03-31 11:51:28
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction,2026-03-31 11:51:28
A Fierce and Subtle Poison,28.13,4,Young Adult,2026-03-31 11:51:28
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Fantasy,2026-03-31 11:51:28
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,Christian,2026-03-31 11:51:28
You Are What You Love: The Spiritual Power of Habit,21.87,4,Religion,2026-03-31 11:51:28
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Science Fiction,2026-03-31 11:51:28
Tuesday Nights in 1980,21.04,2,Fiction,2026-03-31 11:51:28
Tracing Numbers on a Train,41.6,3,Default,2026-03-31 11:51:28
Throne of Glass (Throne of Glass #1),35.07,3,Fantasy,2026-03-31 11:51:28
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,History,2026-03-31 11:51:28
Thirteen Reasons Why,52.72,1,Default,2026-03-31 11:51:28
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,Childrens,2026-03-31 11:51:28
The Wedding Dress,24.12,1,Romance,2026-03-31 11:51:28
The Vacationers,42.15,4,Fiction,2026-03-31 11:51:28
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,Business,2026-03-31 11:51:28
The Stranger,17.44,4,Philosophy,2026-03-31 11:51:28
The Shadow Hero (The Shadow Hero),33.14,1,Sequential Art,2026-03-31 11:51:28
The Secret (The Secret #1),27.37,4,Default,2026-03-31 11:51:28
The Regional Office Is Under Attack!,51.36,5,Fiction,2026-03-31 11:51:28
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Default,2026-03-31 11:51:28
The Project,10.65,1,Science Fiction,2026-03-31 11:51:28
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Nonfiction,2026-03-31 11:51:28
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Nonfiction,2026-03-31 11:51:28
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Food and Drink,2026-03-31 11:51:28
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,2026-03-31 11:51:28
